Date,VIX_Close,BTC_Close,cpu_index,"Emission intensity, gCO2e/kWh","Monthly consumption, TWh","Cumulative consumption, TWh"
2020-11-01,20.57,19625.835938,234.7634116,499.0675825970698,5.9273,186.7318
2020-12-01,22.75,29001.720703,299.8446191,562.0875088806578,6.6615,193.3933
2021-01-01,33.09,33114.359375,180.8233972,579.9347092642881,8.0296,201.4229
2021-02-01,27.950001,45137.769531,207.0713994,577.8240844999747,7.6653,209.0882
2021-03-01,19.4,58918.832031,145.2818833,583.0408299279688,8.9632,218.0515
2021-04-01,18.610001,57750.175781,103.877858,555.0805540691391,8.4896,226.5411
2021-05-01,16.76,37332.855469,167.901495,530.2254728464754,8.7167,235.2578
2021-06-01,15.83,35040.835938,176.7582079,462.7937471962461,6.296,241.5538
2021-07-01,18.24,41626.195313,244.3479261,471.8638111958064,5.0271,246.5809
2021-08-01,16.48,47166.6875,95.08021794,490.702461184442,6.1944,252.7753
2021-09-01,23.139999,43790.894531,326.1647915,548.0399942683332,6.6483,259.4236
2021-10-01,16.26,61318.957031,259.7489046,539.7481814260774,7.2084,266.632
2021-11-01,27.190001,57005.425781,411.2888056,533.5666135353621,7.5727,274.2047
2021-12-01,17.219999,46306.445313,266.2633128,512.5152802949063,8.1908,282.3955
2022-01-01,24.83,38483.125,209.0009394,506.711361754128,8.665,291.0605
2022-02-01,30.15,43193.234375,221.277325,506.711361754128,8.0341,299.0945
2022-03-01,20.559999,45538.675781,229.6155689,506.711361754128,8.7912,307.8857
2022-04-01,33.400002,37714.875,225.9682532,506.711361754128,8.8152,316.701
2022-05-01,26.190001,31792.310547,235.5590969,506.711361754128,9.2135,325.9145
2022-06-01,28.709999,19784.726563,189.2958277,506.711361754128,7.8795,333.794
2022-07-01,21.33,23336.896484,336.7758492,506.711361754128,6.903,340.697
2022-08-01,25.870001,20049.763672,255.6456167,506.711361754128,7.3288,348.0258
2022-09-01,31.620001,19431.789063,178.5962387,506.711361754128,7.326,355.3517
2022-10-01,25.879999,20495.773438,204.4393112,506.711361754128,8.1699,363.5217
2022-11-01,20.58,17168.566406,220.3033416,506.711361754128,7.4272,370.9489
2022-12-01,21.67,16547.496094,198.4815688,506.711361754128,6.9762,377.9251
2023-01-01,19.4,23139.283203,213.5660193,506.711361754128,7.8534,385.7785
2023-02-01,20.700001,23147.353516,242.0564097,506.711361754128,7.7767,393.5551
2023-03-01,18.700001,28478.484375,287.5295264,506.711361754128,9.3296,402.8848
2023-04-01,15.78,29268.806641,226.2019158,506.711361754128,9.6735,412.5582
2023-05-01,17.950001,27219.658203,227.9405454,506.711361754128,10.4547,423.013
